"","time","proportionDisseminated","mainRun"
"11777",7.3,0.6," 84"
"11778",7.4,0.6," 84"
"11779",7.5,0.6," 84"
"11780",7.6,0.6," 84"
"11781",7.7,0.6," 84"
"11782",7.8,0.6," 84"
"11783",7.9,0.6," 84"
"11784",8,0.6," 84"
"11785",8.1,0.6," 84"
"11786",8.2,0.6," 84"
"11787",8.3,0.6," 84"
"11788",8.4,0.6," 84"
"11789",8.5,0.6," 84"
"11790",8.6,0.6," 84"
"11791",8.7,0.6," 84"
"11792",8.8,0.6," 84"
"11793",8.9,0.6," 84"
"11794",9,0.6," 84"
"11795",9.1,0.6," 84"
"11796",9.2,0.6," 84"
"11797",9.3,0.6," 84"
"11798",9.4,0.6," 84"
"11799",9.5,0.6," 84"
"11800",9.6,0.6," 84"
"11801",9.7,0.6," 84"
"11802",9.8,0.6," 84"
"11803",9.9,0.6," 84"
"11804",10,0.6," 84"
"11805",10.1,0.6," 84"
"11806",10.2,0.6," 84"
"11807",10.3,0.6," 84"
"11808",10.4,0.633333333333333," 84"
"11809",10.5,0.633333333333333," 84"
"11810",10.6,0.633333333333333," 84"
"11811",10.7,0.633333333333333," 84"
"11812",10.8,0.633333333333333," 84"
"11813",10.9,0.633333333333333," 84"
"11814",11,0.633333333333333," 84"
"11815",11.1,0.666666666666667," 84"
"11816",11.2,0.666666666666667," 84"
"11817",11.3,0.7," 84"
"11818",11.4,0.7," 84"
"11819",11.5,0.7," 84"
"11820",11.6,0.7," 84"
"11821",11.7,0.7," 84"
"11822",11.8,0.733333333333333," 84"
"11823",11.9,0.733333333333333," 84"
"11824",12,0.733333333333333," 84"
"11825",12.1,0.733333333333333," 84"
"11826",12.2,0.733333333333333," 84"
"11827",12.3,0.733333333333333," 84"
"11828",12.4,0.733333333333333," 84"
"11829",12.5,0.733333333333333," 84"
"11830",12.6,0.733333333333333," 84"
"11831",12.7,0.733333333333333," 84"
"11832",12.8,0.766666666666667," 84"
"11833",12.9,0.766666666666667," 84"
"11834",13,0.8," 84"
"11835",13.1,0.8," 84"
"11836",13.2,0.833333333333333," 84"
"11837",13.3,0.833333333333333," 84"
"11838",13.4,0.833333333333333," 84"
"11839",13.5,0.833333333333333," 84"
"11840",13.6,0.833333333333333," 84"
"11841",13.7,0.833333333333333," 84"
"11842",13.8,0.833333333333333," 84"
"11843",13.9,0.866666666666667," 84"
"11844",14,0.866666666666667," 84"
"11845",0,0," 85"
"11846",0.1,0," 85"
"11847",0.2,0," 85"
"11848",0.3,0," 85"
"11849",0.4,0," 85"
"11850",0.5,0," 85"
"11851",0.6,0," 85"
"11852",0.7,0," 85"
"11853",0.8,0," 85"
"11854",0.9,0," 85"
"11855",1,0.0344827586206897," 85"
"11856",1.1,0.0689655172413793," 85"
"11857",1.2,0.0689655172413793," 85"
"11858",1.3,0.0689655172413793," 85"
"11859",1.4,0.0689655172413793," 85"
"11860",1.5,0.0689655172413793," 85"
"11861",1.6,0.0689655172413793," 85"
"11862",1.7,0.0689655172413793," 85"
"11863",1.8,0.0689655172413793," 85"
"11864",1.9,0.0689655172413793," 85"
"11865",2,0.0689655172413793," 85"
"11866",2.1,0.0689655172413793," 85"
"11867",2.2,0.172413793103448," 85"
"11868",2.3,0.172413793103448," 85"
"11869",2.4,0.172413793103448," 85"
"11870",2.5,0.172413793103448," 85"
"11871",2.6,0.172413793103448," 85"
"11872",2.7,0.172413793103448," 85"
"11873",2.8,0.172413793103448," 85"
